id,purchase_date,purchase_device,spent,gender,country,join_device,join_date,group
1041787,26/01/2023,I,1659.4,F,DEU,I,26/01/2023,A
1022805,01/02/2023,I,1546.3,M,GBR,I,27/01/2023,B
1008085,27/01/2023,A,1266.8,M,USA,A,25/01/2023,A
1009288,25/01/2023,I,1094.8,F,BRA,I,25/01/2023,B
1001037,31/01/2023,I,879.1,F,USA,I,31/01/2023,B
1023745,05/02/2023,I,872.9,F,BRA,I,03/02/2023,B
1009810,25/01/2023,I,854.8,F,BRA,I,25/01/2023,A
1003941,27/01/2023,Missing,844.7,Missing,MEX,Missing,27/01/2023,A
1017574,29/01/2023,A,831.6,F,BRA,A,29/01/2023,B
1008198,03/02/2023,A,771.9,Missing,BRA,A,03/02/2023,B
1016433,05/02/2023,I,765.1,F,MEX,I,05/02/2023,B
1013863,31/01/2023,A,761.1,F,USA,A,31/01/2023,B
1019907,25/01/2023,A,745.8,F,TUR,A,25/01/2023,A
1016223,26/01/2023,A,682.3,F,BRA,A,26/01/2023,A
1020325,05/02/2023,I,615.2,M,USA,I,05/02/2023,A
1038098,28/01/2023,A,579.1,F,MEX,A,28/01/2023,B
1022692,30/01/2023,I,523.6,F,USA,I,30/01/2023,A
1025097,28/01/2023,A,504.2,F,GBR,A,28/01/2023,B
1009232,02/02/2023,I,454.2,Missing,USA,I,28/01/2023,A
1049659,25/01/2023,I,447.6,Missing,USA,I,25/01/2023,A
1027401,25/01/2023,I,425.9,F,USA,I,25/01/2023,B
1043835,01/02/2023,A,425.4,F,USA,A,01/02/2023,A
1049704,27/01/2023,I,405.8,F,USA,I,27/01/2023,A
1018502,26/01/2023,I,400.9,M,DEU,I,26/01/2023,A
1048541,26/01/2023,A,375.8,F,GBR,A,26/01/2023,B
1044543,06/02/2023,I,351.5,M,USA,I,06/02/2023,B
1019940,02/02/2023,I,335.1,F,MEX,I,02/02/2023,A
1046581,04/02/2023,I,333.79,F,FRA,I,03/02/2023,A
1025097,31/01/2023,A,332.4820136,F,GBR,A,28/01/2023,B
1030201,25/01/2023,I,315.8,Missing,BRA,I,25/01/2023,B
1001425,25/01/2023,A,309.8,M,USA,A,25/01/2023,B
1011140,26/01/2023,A,291.9,O,GBR,A,26/01/2023,A
1002163,02/02/2023,A,274.29,F,USA,A,02/02/2023,A
1036281,27/01/2023,I,267.8,M,ESP,I,27/01/2023,B
1042424,05/02/2023,A,262.29,F,USA,A,03/02/2023,B
1003488,26/01/2023,I,255.66,M,BRA,I,26/01/2023,A
1035052,25/01/2023,I,248.97,F,DEU,I,25/01/2023,B
1027975,01/02/2023,I,248.2,F,TUR,I,01/02/2023,A
1016281,26/01/2023,I,248.11,Missing,USA,I,26/01/2023,B
1037883,27/01/2023,I,237.45,Missing,MEX,I,26/01/2023,A
1003875,26/01/2023,I,233.25,Missing,USA,I,26/01/2023,B
1028184,30/01/2023,A,231.28,M,USA,A,30/01/2023,B
1022033,29/01/2023,A,229.7,F,BRA,A,29/01/2023,A
1044101,25/01/2023,A,229.02,F,TUR,A,25/01/2023,A
1041343,25/01/2023,I,228.2,F,ESP,I,25/01/2023,B
1028961,31/01/2023,I,220.27,M,USA,I,31/01/2023,A
1035132,04/02/2023,A,217.72,M,USA,A,04/02/2023,B
1006290,26/01/2023,I,215.99,F,ESP,I,26/01/2023,B
1035885,28/01/2023,I,215.49,F,USA,I,28/01/2023,A
1024518,25/01/2023,A,215.42,M,BRA,A,25/01/2023,A
1026527,03/02/2023,I,213.6,M,USA,I,03/02/2023,A
1019618,27/01/2023,I,211.78,O,ESP,I,27/01/2023,B
1019210,04/02/2023,I,208.73,F,BRA,I,04/02/2023,A
1000261,25/01/2023,A,205.98,F,TUR,A,25/01/2023,A
1032793,06/02/2023,I,204.69,F,USA,I,06/02/2023,A
1030245,25/01/2023,A,202.8,F,DEU,A,25/01/2023,A
1029758,28/01/2023,I,201.96,F,MEX,I,28/01/2023,B
1038439,25/01/2023,A,200.89,F,BRA,A,25/01/2023,A
1019139,27/01/2023,I,198.6,F,CAN,I,27/01/2023,B
1040652,29/01/2023,I,196.7,F,MEX,I,29/01/2023,A
1036174,26/01/2023,I,195.46,O,BRA,I,26/01/2023,A
1014964,25/01/2023,I,195.25,F,MEX,I,25/01/2023,A
1022043,28/01/2023,A,194.4,Missing,MEX,A,28/01/2023,B
1022467,02/02/2023,A,193.85,M,CAN,A,28/01/2023,A
1010495,31/01/2023,A,191.35,F,USA,A,26/01/2023,A
1044694,26/01/2023,A,190.91,Missing,BRA,A,26/01/2023,B
1014949,28/01/2023,I,190.77,Missing,BRA,I,28/01/2023,A
1004133,26/01/2023,A,190.37,F,TUR,A,26/01/2023,B
1021115,31/01/2023,I,189.91,F,TUR,I,28/01/2023,B
1035018,30/01/2023,I,188.95,F,MEX,I,30/01/2023,B
1002492,04/02/2023,A,188.92,F,BRA,A,04/02/2023,A
1037673,26/01/2023,I,188.8,O,ESP,I,26/01/2023,A
1045347,26/01/2023,I,188.52,F,GBR,I,26/01/2023,B
1035073,25/01/2023,I,188.31,Missing,USA,I,25/01/2023,B
1011339,27/01/2023,A,187.48,F,DEU,A,27/01/2023,B
1049880,26/01/2023,I,186.69,M,TUR,I,26/01/2023,A
1044066,27/01/2023,I,185.26,F,USA,I,27/01/2023,B
1014183,25/01/2023,A,183.34,F,USA,A,25/01/2023,B
1017671,02/02/2023,A,182.93,M,DEU,A,27/01/2023,B
1003148,30/01/2023,I,182.71,M,BRA,I,30/01/2023,B
1027975,05/02/2023,I,182.2964919,F,TUR,I,01/02/2023,A
1047194,26/01/2023,I,180.65,F,FRA,I,25/01/2023,A
1019937,03/02/2023,A,180.38,F,DEU,A,03/02/2023,A
1032555,26/01/2023,I,180.32,M,BRA,I,26/01/2023,A
1002807,02/02/2023,A,178.88,Missing,MEX,A,02/02/2023,A
1043645,30/01/2023,I,178.14,M,BRA,I,30/01/2023,B
1007878,30/01/2023,A,177.72,M,BRA,A,30/01/2023,B
1007249,28/01/2023,I,176.88,M,BRA,I,26/01/2023,A
1038282,27/01/2023,A,176.86,M,USA,A,27/01/2023,B
1045250,31/01/2023,A,176.86,M,USA,A,30/01/2023,A
1000669,29/01/2023,I,176.83,M,BRA,I,29/01/2023,A
1005885,26/01/2023,I,176.76,O,TUR,I,26/01/2023,B
1047639,01/02/2023,I,176.67,F,BRA,I,28/01/2023,A
1015612,26/01/2023,I,175,M,USA,I,26/01/2023,A
1038756,27/01/2023,A,174.74,M,BRA,A,27/01/2023,A
1033523,03/02/2023,I,174,F,USA,I,03/02/2023,A
1025845,28/01/2023,A,173.67,O,USA,A,28/01/2023,A
1003816,06/02/2023,A,173.55,Missing,BRA,A,06/02/2023,A
1003440,01/02/2023,I,172.96,F,USA,I,01/02/2023,B
1044812,02/02/2023,A,171.5,Missing,USA,A,28/01/2023,A
1047128,31/01/2023,I,170.87,F,USA,I,29/01/2023,B
1041273,27/01/2023,I,170.49,M,USA,I,27/01/2023,B
1021171,26/01/2023,A,169.5,O,USA,A,26/01/2023,B
1014953,26/01/2023,I,169.37,F,BRA,I,26/01/2023,A
1033250,25/01/2023,I,168.85,F,BRA,I,25/01/2023,A
1032045,05/02/2023,I,168.01,M,BRA,I,05/02/2023,A
1023864,02/02/2023,I,167.86,O,Missing,I,02/02/2023,B
1029080,04/02/2023,I,166.71,M,USA,I,04/02/2023,A
1000200,26/01/2023,I,166.32,F,USA,I,26/01/2023,A
1032735,27/01/2023,I,166.06,F,USA,I,27/01/2023,A
1017566,27/01/2023,A,165.14,F,GBR,A,27/01/2023,A
1020103,01/02/2023,A,164.62,M,USA,A,29/01/2023,B
1025283,31/01/2023,I,164.58,F,AUS,I,29/01/2023,B
1003663,25/01/2023,I,164.36,Missing,BRA,I,25/01/2023,A
1015344,31/01/2023,A,163.56,F,MEX,A,31/01/2023,A
1024350,28/01/2023,A,163.42,F,USA,A,28/01/2023,A
1013758,04/02/2023,A,163.06,M,USA,A,04/02/2023,B
1013176,26/01/2023,A,162.87,F,TUR,A,26/01/2023,A
1042411,28/01/2023,I,162.86,F,USA,I,27/01/2023,B
1005712,28/01/2023,I,162.6,Missing,FRA,I,25/01/2023,A
1020700,30/01/2023,A,161.94,F,USA,A,28/01/2023,B
1040844,27/01/2023,I,161.8,Missing,BRA,I,27/01/2023,A
1039909,31/01/2023,I,161.54,Missing,BRA,I,27/01/2023,B
1004325,29/01/2023,A,161.46,M,BRA,A,27/01/2023,B
1042745,04/02/2023,A,161.44,F,CAN,A,31/01/2023,A
1004078,27/01/2023,A,160.82,F,USA,A,27/01/2023,B
1011701,27/01/2023,I,160.76,F,MEX,I,27/01/2023,A
1049834,04/02/2023,I,160.35,F,USA,I,29/01/2023,A
1017857,28/01/2023,I,159.66,M,USA,I,26/01/2023,B
1032604,04/02/2023,I,159.02,F,MEX,I,04/02/2023,A
1009105,25/01/2023,I,158.77,F,BRA,I,25/01/2023,A
1024982,28/01/2023,I,158.55,Missing,MEX,I,28/01/2023,A
1043062,26/01/2023,I,158.36,M,FRA,I,26/01/2023,A
1028100,25/01/2023,A,157.15,Missing,USA,A,25/01/2023,B
1009201,04/02/2023,A,157.13,F,USA,A,30/01/2023,A
1032254,01/02/2023,I,156.76,M,BRA,I,28/01/2023,A
1007502,26/01/2023,A,156.73,F,DEU,A,26/01/2023,A
1026180,25/01/2023,A,156.72,M,ESP,A,25/01/2023,B
1045615,31/01/2023,I,156.71,F,GBR,I,31/01/2023,A
1047770,31/01/2023,A,156.64,F,DEU,A,31/01/2023,B
1024176,05/02/2023,I,156.46,F,MEX,I,05/02/2023,B
1012099,01/02/2023,A,155.52,F,BRA,A,30/01/2023,A
1027837,27/01/2023,A,155.15,F,USA,A,27/01/2023,B
1014511,03/02/2023,I,154.95,M,USA,I,03/02/2023,B
1037691,25/01/2023,A,154.34,M,USA,A,25/01/2023,B
1011746,31/01/2023,A,154.22,F,BRA,A,31/01/2023,B
1009627,01/02/2023,I,153.94,F,AUS,I,01/02/2023,A
1041445,27/01/2023,A,153.55,F,AUS,A,27/01/2023,B
